App,Category,Rating,NumReviews,Size,Installs,Charge,Price,ContentRating
"Motorola Spotlight Player™",ENTERTAINMENT,4.6,22508,3.3M,10000000,Free,0,Everyone
"Vigo Lite",ENTERTAINMENT,4.2,10291,6.5M,5000000,Free,0,Teen
"Google Play Games",ENTERTAINMENT,4.3,7165362,"Varies with device",1000000000,Free,0,Teen
Hotstar,ENTERTAINMENT,4.3,4885646,"Varies with device",100000000,Free,0,Teen
"Peers.TV: broadcast TV channels First, Match TV, TNT ...",ENTERTAINMENT,4.1,141980,"Varies with device",5000000,Free,0,Teen
"The green alien dance",ENTERTAINMENT,3.8,6979,12M,1000000,Free,0,Everyone
"Spectrum TV",ENTERTAINMENT,3.4,46618,"Varies with device",5000000,Free,0,Teen
"H TV",ENTERTAINMENT,4.3,103078,5.6M,5000000,Free,0,Everyone
"StarTimes - Live International Champions Cup",ENTERTAINMENT,4.4,17682,9.7M,1000000,Free,0,Everyone
"Cinematic Cinematic",ENTERTAINMENT,4.4,37000,15M,1000000,Free,0,"Mature 17+"
"MEGOGO - Cinema and TV",ENTERTAINMENT,4,175528,"Varies with device",10000000,Free,0,Everyone
"Talking Angela",ENTERTAINMENT,3.7,1828284,52M,100000000,Free,0,Everyone
"DStv Now",ENTERTAINMENT,3.9,34923,"Varies with device",5000000,Free,0,Teen
"ivi - movies and TV shows in HD",ENTERTAINMENT,4.5,684116,"Varies with device",10000000,Free,0,Teen
"Radio Javan",ENTERTAINMENT,4.4,46916,4.5M,1000000,Free,0,Everyone
"Viki: Asian TV Dramas & Movies",ENTERTAINMENT,4.3,407698,"Varies with device",10000000,Free,0,Teen
"Talking Ginger 2",ENTERTAINMENT,4.2,702975,49M,50000000,Free,0,Everyone
"Girly Lock Screen Wallpaper with Quotes",ENTERTAINMENT,4.2,32458,18M,5000000,Free,0,Everyone
"No.Draw - Colors by Number 2018",ENTERTAINMENT,4.5,235496,13M,10000000,Free,0,Everyone
"🔥 Football Wallpapers 4K | Full HD Backgrounds 😍",ENTERTAINMENT,4.7,11661,4.0M,1000000,Free,0,Everyone
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,10000000,Free,0,Everyone
"Low Poly – Puzzle art game",ENTERTAINMENT,4.5,23063,17M,1000000,Free,0,Everyone
"BBC Media Player",ENTERTAINMENT,3.4,87384,"Varies with device",10000000,Free,0,Everyone
"Amazon Prime Video",ENTERTAINMENT,4.2,411683,24M,50000000,Free,0,Teen
"Adult Glitter Color by Number Book - Sandbox Pages",ENTERTAINMENT,4.3,8918,"Varies with device",1000000,Free,0,Everyone
"IMDb Movies & TV",ENTERTAINMENT,4.2,501498,12M,100000000,Free,0,Teen
"Twitch: Livestream Multiplayer Games & Esports",ENTERTAINMENT,4.6,2133296,"Varies with device",50000000,Free,0,Teen
"Ziggo GO",ENTERTAINMENT,4.1,29690,78M,1000000,Free,0,Teen
"YouTube Gaming",ENTERTAINMENT,4.2,130549,"Varies with device",5000000,Free,0,Teen
"PlayStation App",ENTERTAINMENT,4.2,613059,25M,50000000,Free,0,Everyone
"Talking Ben the Dog",ENTERTAINMENT,4.3,1633682,57M,100000000,Free,0,Everyone
"Red Bull TV: Live Sports, Music & Entertainment",ENTERTAINMENT,4.4,42050,"Varies with device",1000000,Free,0,Teen
"Trailer Addict Movie Trailers",ENTERTAINMENT,3.9,2646,9.1M,100000,Free,0,Teen
"Cinemark Theatres",ENTERTAINMENT,4.1,21867,39M,1000000,Free,0,Teen
"Regal Cinemas",ENTERTAINMENT,4.3,32732,"Varies with device",1000000,Free,0,Everyone
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,10000000,Free,0,Everyone
"Fandango Movies - Times + Tickets",ENTERTAINMENT,4.6,243747,"Varies with device",10000000,Free,0,Teen
"Marcus Theatres",ENTERTAINMENT,3.6,2639,8.5M,100000,Free,0,Everyone
"Harkins Theatres",ENTERTAINMENT,4.3,1511,12M,100000,Free,0,Everyone
"AMC Theatres",ENTERTAINMENT,4.3,44550,72M,1000000,Free,0,Everyone
"IMDb Movies & TV",ENTERTAINMENT,4.2,501497,12M,100000000,Free,0,Teen
Netflix,ENTERTAINMENT,4.4,5456208,"Varies with device",100000000,Free,0,Teen
"Food Network",ENTERTAINMENT,4.1,7813,"Varies with device",500000,Free,0,Teen
"Cooking Channel",ENTERTAINMENT,4.1,1033,16M,100000,Free,0,Teen
"Animal Planet GO",ENTERTAINMENT,4.2,2442,9.6M,100000,Free,0,Teen
"VRV: Anime, game videos & more",ENTERTAINMENT,3.9,15254,"Varies with device",1000000,Free,0,Teen
"DramaFever: Stream Asian Drama Shows & Movies",ENTERTAINMENT,4.2,155234,22M,1000000,Free,0,Teen
"Crunchyroll - Everything Anime",ENTERTAINMENT,3.7,310066,"Varies with device",10000000,Free,0,Teen
"Investigation Discovery GO",ENTERTAINMENT,4.5,12216,13M,1000000,Free,0,Teen
"Crackle - Free TV & Movies",ENTERTAINMENT,3.7,388089,"Varies with device",10000000,Free,0,Teen
"CBS - Full Episodes & Live TV",ENTERTAINMENT,3.8,92058,12M,10000000,Free,0,Teen
STARZ,ENTERTAINMENT,4.3,88185,"Varies with device",10000000,Free,0,"Mature 17+"
"Acorn TV: World-class TV from Britain and Beyond",ENTERTAINMENT,3,493,23M,50000,Free,0,Everyone
"HISTORY: Watch TV Show Full Episodes & Specials",ENTERTAINMENT,4.1,33387,20M,1000000,Free,0,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,10000000,Free,0,"Everyone 10+"
VH1,ENTERTAINMENT,4.1,27424,17M,1000000,Free,0,Teen
"FOX NOW - On Demand & Live TV",ENTERTAINMENT,3.9,60841,"Varies with device",5000000,Free,0,Teen
"A&E - Watch Full Episodes of TV Shows",ENTERTAINMENT,4,29706,19M,1000000,Free,0,Teen
"The CW",ENTERTAINMENT,4.4,288150,21M,5000000,Free,0,Teen
"BET NOW - Watch Shows",ENTERTAINMENT,4.2,14807,19M,1000000,Free,0,Teen
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319692,"Varies with device",10000000,Free,0,Teen
"HBO NOW: Stream TV & Movies",ENTERTAINMENT,3.9,61201,"Varies with device",10000000,Free,0,Teen
"Univision NOW - Live TV and On Demand",ENTERTAINMENT,4,22998,"Varies with device",1000000,Free,0,Teen
SHOWTIME,ENTERTAINMENT,4.2,12398,"Varies with device",1000000,Free,0,Teen
"Lifetime - Watch Full Episodes & Original Movies",ENTERTAINMENT,4,35928,19M,1000000,Free,0,Teen
"SeriesGuide – Show & Movie Manager",ENTERTAINMENT,4.3,64448,4.4M,1000000,Free,0,"Mature 17+"
"Comedy Central",ENTERTAINMENT,3.9,22378,19M,1000000,Free,0,Teen
"IMDb Movies & TV",ENTERTAINMENT,4.2,501498,12M,100000000,Free,0,Teen
Netflix,ENTERTAINMENT,4.4,5456599,"Varies with device",100000000,Free,0,Teen
"Tubi TV - Free Movies & TV",ENTERTAINMENT,4.3,296829,11M,10000000,Free,0,Teen
"Crunchyroll - Everything Anime",ENTERTAINMENT,3.7,310095,"Varies with device",10000000,Free,0,Teen
STARZ,ENTERTAINMENT,4.3,88185,"Varies with device",10000000,Free,0,"Mature 17+"
"Crackle - Free TV & Movies",ENTERTAINMENT,3.7,388089,"Varies with device",10000000,Free,0,Teen
"CBS - Full Episodes & Live TV",ENTERTAINMENT,3.8,92058,12M,10000000,Free,0,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,10000000,Free,0,"Everyone 10+"
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319691,"Varies with device",10000000,Free,0,Teen
"FOX NOW - On Demand & Live TV",ENTERTAINMENT,3.9,60841,"Varies with device",5000000,Free,0,Teen
"The CW",ENTERTAINMENT,4.4,288150,21M,5000000,Free,0,Teen
"CW Seed",ENTERTAINMENT,4.5,16372,13M,500000,Free,0,Teen
"The NBC App - Watch Live TV and Full Episodes",ENTERTAINMENT,4.1,58028,17M,5000000,Free,0,Teen
"HISTORY: Watch TV Show Full Episodes & Specials",ENTERTAINMENT,4.1,33387,20M,1000000,Free,0,Teen
"HBO NOW: Stream TV & Movies",ENTERTAINMENT,3.9,61201,"Varies with device",10000000,Free,0,Teen
WWE,ENTERTAINMENT,4.5,736864,20M,10000000,Free,0,Teen
"A&E - Watch Full Episodes of TV Shows",ENTERTAINMENT,4,29706,19M,1000000,Free,0,Teen
VH1,ENTERTAINMENT,4.1,27424,17M,1000000,Free,0,Teen
"Universal Kids",ENTERTAINMENT,3.6,1968,21M,500000,Free,0,Everyone
MTV,ENTERTAINMENT,3.8,35279,15M,1000000,Free,0,Teen
"Lifetime - Watch Full Episodes & Original Movies",ENTERTAINMENT,4,35931,19M,1000000,Free,0,Teen
"BET NOW - Watch Shows",ENTERTAINMENT,4.2,14807,19M,1000000,Free,0,Teen
"LEGO® TV",ENTERTAINMENT,3.7,17247,7.2M,1000000,Free,0,"Everyone 10+"
"HBO GO: Stream with TV Package",ENTERTAINMENT,3.8,87723,32M,10000000,Free,0,Teen
"Showtime Anytime",ENTERTAINMENT,3.7,18523,"Varies with device",1000000,Free,0,Teen
"PlayKids - Educational cartoons and games for kids",ENTERTAINMENT,4.1,182103,"Varies with device",10000000,Free,0,Everyone
FOX,ENTERTAINMENT,3.7,197774,44M,10000000,Free,0,"Mature 17+"
"Telemundo Now",ENTERTAINMENT,3.9,8674,19M,1000000,Free,0,Teen
Netflix,ENTERTAINMENT,4.4,5456708,"Varies with device",100000000,Free,0,Teen
"Tubi TV - Free Movies & TV",ENTERTAINMENT,4.3,296771,11M,10000000,Free,0,Teen
"Vudu Movies & TV",ENTERTAINMENT,3.9,58082,"Varies with device",10000000,Free,0,Teen
"Crackle - Free TV & Movies",ENTERTAINMENT,3.7,388089,"Varies with device",10000000,Free,0,Teen
"Crunchyroll - Everything Anime",ENTERTAINMENT,3.7,310066,"Varies with device",10000000,Free,0,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,10000000,Free,0,"Everyone 10+"
STARZ,ENTERTAINMENT,4.3,88185,"Varies with device",10000000,Free,0,"Mature 17+"
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319691,"Varies with device",10000000,Free,0,Teen
"Food Network",ENTERTAINMENT,4.1,7813,"Varies with device",500000,Free,0,Teen
"FOX NOW - On Demand & Live TV",ENTERTAINMENT,3.9,60841,"Varies with device",5000000,Free,0,Teen
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,10000000,Free,0,Everyone
"Yidio: TV Show & Movie Guide",ENTERTAINMENT,3.9,27424,"Varies with device",1000000,Free,0,Teen
"HISTORY: Watch TV Show Full Episodes & Specials",ENTERTAINMENT,4.1,33387,20M,1000000,Free,0,Teen
"Viki: Asian TV Dramas & Movies",ENTERTAINMENT,4.3,407719,"Varies with device",10000000,Free,0,Teen
"The CW",ENTERTAINMENT,4.4,288150,21M,5000000,Free,0,Teen
Redbox,ENTERTAINMENT,4.1,115033,30M,10000000,Free,0,Everyone
"Univision NOW - Live TV and On Demand",ENTERTAINMENT,4,22997,"Varies with device",1000000,Free,0,Teen
"HBO NOW: Stream TV & Movies",ENTERTAINMENT,3.9,61201,"Varies with device",10000000,Free,0,Teen
"Tribeca Shortlist - Handpicked Movies",ENTERTAINMENT,3.9,801,57M,100000,Free,0,Teen
"A&E - Watch Full Episodes of TV Shows",ENTERTAINMENT,4,29706,19M,1000000,Free,0,Teen
VH1,ENTERTAINMENT,4.1,27424,17M,1000000,Free,0,Teen
SHOWTIME,ENTERTAINMENT,4.2,12398,"Varies with device",1000000,Free,0,Teen
MTV,ENTERTAINMENT,3.8,35279,15M,1000000,Free,0,Teen
"Lifetime - Watch Full Episodes & Original Movies",ENTERTAINMENT,4,35931,19M,1000000,Free,0,Teen
"Comedy Central",ENTERTAINMENT,3.9,22378,19M,1000000,Free,0,Teen
"BET NOW - Watch Shows",ENTERTAINMENT,4.2,14807,19M,1000000,Free,0,Teen
FOX,ENTERTAINMENT,3.7,197774,44M,10000000,Free,0,"Mature 17+"
"Telemundo Now",ENTERTAINMENT,3.9,8674,19M,1000000,Free,0,Teen
"Nick Jr. - Shows & Games",ENTERTAINMENT,4.2,8968,35M,1000000,Free,0,Everyone
"Sticker Market: Emoji keyboard",ENTERTAINMENT,4.3,303,44M,10000,Free,0,Teen
"Viki: Asian TV Dramas & Movies",ENTERTAINMENT,4.3,407719,"Varies with device",10000000,Free,0,Teen
"Kidjo TV Kids Have Fun & Learn",ENTERTAINMENT,4.6,732,"Varies with device",100000,Free,0,Everyone
"Laugh Out Loud by Kevin Hart",ENTERTAINMENT,4.3,1856,20M,100000,Free,0,Teen
"ColorFul - Adult Coloring Book",ENTERTAINMENT,4.6,50725,19M,5000000,Free,0,Everyone
Nick,ENTERTAINMENT,4.2,123279,25M,10000000,Free,0,"Everyone 10+"
"Fandango Movies - Times + Tickets",ENTERTAINMENT,4.6,243747,"Varies with device",10000000,Free,0,Teen
"Hamilton — The Official App",ENTERTAINMENT,4.5,1575,43M,100000,Free,0,Everyone
"My Talking Pet",ENTERTAINMENT,4.6,6238,"Varies with device",100000,Paid,4.99,Everyone
"Funny Pics",ENTERTAINMENT,3.9,9941,"Varies with device",1000000,Free,0,Teen
"Funny Quotes Free",ENTERTAINMENT,4.2,23666,3.6M,1000000,Free,0,Teen
"LOL Pics (Funny Pictures)",ENTERTAINMENT,4.4,67554,7.7M,1000000,Free,0,Teen
"Meme Creator",ENTERTAINMENT,4.2,38769,44M,1000000,Free,0,"Mature 17+"
